Unique ID;Name;Division;UF
19.179.979;EC São Bernardo;Sem divisão nacional;SP
19.019.863;EC Sírio (SP);Sem divisão nacional;SP
19.014.171;ECO;Sem divisão nacional;SP
318.893;ECUS;Sem divisão nacional;SP
2.000.099.932;Egipciense;Sem divisão nacional;PE
19.326.202;Elite (RS);Sem divisão nacional;RS
312.306;Energia Circular (BA);Sem divisão nacional;BA
320.676;Engenho de Dentro;Sem divisão nacional;RJ
311.113;Entrerriense;Sem divisão nacional;RJ
2.000.152.152;ESMAC;Sem divisão nacional;PA
19.088.042;Espigão;Sem divisão nacional;RO
19.088.838;Espírito Santo FC;Sem divisão nacional;ES
318.868;Espírito Santo SE;Sem divisão nacional;ES
314.962;Esporte;Sem divisão nacional;
19.341.236;Esporte Limoeiro;Sem divisão nacional;CE
19.000.203;Esportiva Guaratinguetá;Sem divisão nacional;SP
19.027.434;Esportiva Itapirense;Sem divisão nacional;SP
301.268;Esportivo;Sem divisão nacional;RS
19.219.019;Esportivo (MG);Sem divisão nacional;MG
313.327;Estanciano;Sem divisão nacional;SE
314.316;Estrela do Mar;Sem divisão nacional;PB
302.108;Estrela do Norte;Sem divisão nacional;ES
310.908;Estrela Potiguar;Sem divisão nacional;RN
19.005.117;Estudantes;Sem divisão nacional;
313.283;Expressinho;Sem divisão nacional;MA
309.764;Externato (SC);Sem divisão nacional;SC
2.000.106.888;Falcon (SE);Brasileirão Série D;SE
311.867;Farroupilha;Sem divisão nacional;RS
309.651;Fast Clube;Sem divisão nacional;AM
19.072.706;FC Cascavel;Brasileirão Série D;PR
19.220.676;FC Marau;Sem divisão nacional;RS
2.000.029.587;FC Pará;Sem divisão nacional;PA
314.314;Felipéia (PB);Sem divisão nacional;PB
19.294.426;Femar;Sem divisão nacional;PB
313.780;Fênix (MA);Sem divisão nacional;MA
318.895;Fernandópolis;Sem divisão nacional;SP
19.005.348;Ferrocarril (RS);Sem divisão nacional;RS
302.144;Ferroviária (SP);Brasileirão Série D;SP
2.000.135.793;Ferroviária de Pindamonha;Sem divisão nacional;SP
313.441;Ferroviário (AL);Sem divisão nacional;AL
301.129;Ferroviário (CE);Brasileirão Série D;CE
