1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
6; Francana;23;12;7;2;3;29;15;14;Maior goleada;CSA 7–0 Galícia;;;;;;;;;;;;
7; Sampaio Corrêa;16;10;5;1;4;23;14;9;(diferença);;;;;;;;;;;;;
8; Nacional-AM;16;10;5;1;4;13;10;3;;;;;;;;;;;;;;
9; CSA;20;10;6;2;2;17;8;4;;;;;;;;;;;;;;
10; Tubarão;20;12;6;2;4;20;20;0;;;;;;;;;;;;;;
11; Rio Branco-PR;16;10;4;4;2;17;12;5;;;;;;;;;;;;;;
12; Atlético Sorocaba;15;10;4;3;3;13;11;2;;;;;;;;;;;;;;
13; Fluminense de Feira;12;10;4;0;6;12;13;-1;;;;;;;;;;;;;;
14; Ji-Paraná;11;8;3;2;3;12;11;1;;;;;;;;;;;;;;
15; Potiguar de Mossoró;10;6;3;1;2;10;11;-1;;;;;;;;;;;;;;
16; Mixto;9;8;2;3;3;8;12;-4;;;;;;;;;;;;;;
17; Paulista;17;10;5;2;3;10;9;1;;;;;;;;;;;;;;
18; Fortaleza;15;8;4;3;1;12;9;3;;;;;;;;;;;;;;
19; Corinthians de Presidente Prudente;13;10;4;1;5;15;23;-8;;;;;;;;;;;;;;
20; Cascavel;12;8;4;0;4;11;10;1;;;;;;;;;;;;;;
21; Estrela do Norte;12;6;4;0;2;9;8;1;;;;;;;;;;;;;;
22; Botafogo Sobradinho;12;8;3;3;2;8;8;0;;;;;;;;;;;;;;
23; Caxias;11;8;3;2;3;11;9;2;;;;;;;;;;;;;;
24; Rio Branco-AC;11;6;3;2;1;5;4;1;;;;;;;;;;;;;;
