1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
13; Cuiabá;19;18;5;4;9;20;25;–5;;Melhor ataque (fase inicial);30 gols:;;;;;;;;;;;
14; Salgueiro;19;18;4;7;7;17;20;–3;;;Brasil de Pelotas;;;;;;;;;;;
15; Tombense;17;18;3;8;7;16;19;–3;;;Fortaleza;;;;;;;;;;;
16; Guaratinguetá;16;18;4;4;10;19;30;–11;;;Juventude;;;;;;;;;;;
17; Águia de Marabá;15;18;3;6;9;19;28;–9;Rebaixados à Série D de 2016;;Portuguesa;;;;;;;;;;;
18; Madureira;13;18;1;10;7;19;34;–15;;Melhor defesa (fase inicial);Vila Nova – 13 gols;;;;;;;;;;;
19; Caxias;8;18;0;8;10;14;29;–15;;Maiores goleadas;Juventude 5–0 Madureira;;;;;;;;;;;
20; Icasa;7;18;2;1;15;15;42;–27;;(diferença);Estádio Alfredo Jaconi, Caxias do Sul;;;;;;;;;;;
;;;;;;;;;;;;29 de agosto, Grupo B;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Guaratinguetá 5–0 Madureira;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Boa Esporte;49;24;14;7;3;37;13;24;Promovidos à Série B em 2017;Campeão;Boa Esporte (1º título);;;;;;;;;;;
2; Guarani;45;24;13;6;5;37;22;15;e finalistas;Vice-campeão;Guarani;;;;;;;;;;;
3; ABC;37;22;10;7;5;29;21;8;Promovidos à Série B em 2017;Promovido(s);ABC;;;;;;;;;;;
4; Juventude;32;22;8;8;6;31;23;8;e eliminados nas semifinais;;Guarani;;;;;;;;;;;
5; Botafogo-SP;32;20;8;8;4;28;14;13;Eliminados nas quartas de final;;Boa Esporte;;;;;;;;;;;
6; Fortaleza;32;20;8;8;4;27;18;9;;;Juventude;;;;;;;;;;;
7; Botafogo-PB;29;20;7;8;5;19;14;5;;Rebaixado(s);América de Natal;;;;;;;;;;;
8; ASA;29;20;7;8;5;19;19;0;;;Portuguesa;;;;;;;;;;;
9; Tombense;29;18;8;5;5;27;16;11;Eliminados na primeira fase;;River-PI;;;;;;;;;;;
10; Ypiranga de Erechim;28;18;8;4;6;22;23;–1;;;Guaratinguetá;;;;;;;;;;;
11; Remo;25;18;6;7;5;21;20;1;;Estatísticas;;;;;;;;;;;;
12; Cuiabá;22;18;5;7;6;19;17;2;;Melhor marcador;Jones Carioca (ABC) – 12 gols;;;;;;;;;;;
13; Confiança;22;18;5;7;6;22;26;–4;;Melhor ataque (fase inicial);28 gols:;;;;;;;;;;;
14; Salgueiro;21;18;5;6;7;13;18;–5;;;Boa Esporte;;;;;;;;;;;
15; Mogi Mirim;181;18;5;7;6;12;15;–3;;;Botafogo-SP;;;;;;;;;;;
16; Macaé;16;18;4;4;10;16;26;–10;;;Juventude;;;;;;;;;;;
17; América de Natal;20;18;5;5;8;17;23;–6;Rebaixados à Série D de 2017;Melhor defesa (fase inicial);Boa Esporte – 10 gols;;;;;;;;;;;
18; Portuguesa;14;18;4;2;12;13;26;–13;;Maior goleada;Guarani 6–0 ABC;;;;;;;;;;;
19; River-PI;13;18;2;7;9;13;26;–13;;(diferença);;;;;;;;;;;;
20; Guaratinguetá;4;18;1;1;16;13;55;–42;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; CSA;45;24;12;9;3;27;14;13;Promovidos à Série B em 2018;Campeão;CSA (1º título);;;;;;;;;;;
2; Fortaleza;35;24;9;8;7;26;20;6;e finalistas;Vice-campeão;Fortaleza;;;;;;;;;;;
3; São Bento;38;22;10;8;4;23;11;12;Promovidos à Série B em 2018;Promovido(s);CSA;;;;;;;;;;;
4; Sampaio Corrêa;37;22;10;7;5;28;24;4;e eliminados nas semifinais;;Fortaleza;;;;;;;;;;;
5; Tupi;31;20;8;7;5;22;20;2;Eliminados nas quartas de final;;São Bento;;;;;;;;;;;
6; Volta Redonda;26;20;6;8;6;25;19;6;;;Sampaio Corrêa;;;;;;;;;;;
7; Tombense;26;20;6;8;6;19;20;–1;;Rebaixado(s);Moto Club;;;;;;;;;;;
8; Confiança;26;20;6;8;6;23;27;–4;;;Macaé;;;;;;;;;;;
9; Joinville;25;18;6;7;5;28;23;5;Eliminados na primeira fase;;Mogi Mirim;;;;;;;;;;;
10; Botafogo-SP;25;18;6;7;5;25;20;5;;;ASA;;;;;;;;;;;
11; Salgueiro;24;18;7;3;8;19;16;3;;Estatísticas;;;;;;;;;;;;
12; Ypiranga de Erechim;23;18;5;8;5;23;21;2;;Melhor marcador;Rafael Grampola (Joinville) – 13 gols;;;;;;;;;;;
13; Cuiabá;23;18;4;11;3;17;17;0;;Melhor ataque (fase inicial);Joinville – 28 gols;;;;;;;;;;;
14; Remo;22;18;5;7;6;19;21;–2;;Melhor defesa (fase inicial);São Bento – 10 gols;;;;;;;;;;;
15; Botafogo-PB;21;18;6;3;9;18;21;–3;;Maior goleada;Joinville 8–1 Mogi Mirim;;;;;;;;;;;
16; Bragantino;21;18;4;9;5;16;19;–3;;(diferença);;;;;;;;;;;;
17; Moto Club;20;18;5;5;8;18;20;–2;Rebaixados à Série D de 2018;;;;;;;;;;;;;
18; Macaé;19;18;5;4;9;16;28;–12;;;;;;;;;;;;;;
19; Mogi Mirim;13;18;3;4;11;15;34;–19;;;;;;;;;;;;;;
20; ASA;13;18;2;7;9;11;23;–12;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Operário-PR;44;24;12;8;4;32;21;11;Promovidos à Série B em 2019;Campeão;Operário-PR (1º título);;;;;;;;;;;
2; Cuiabá;41;24;12;5;7;42;27;15;e finalistas;Vice-campeão;Cuiabá;;;;;;;;;;;
3; Botafogo-SP;39;22;11;6;5;31;18;13;Promovidos à Série B em 2019;Promovido(s);Operário-PR;;;;;;;;;;;
4; Bragantino;34;22;9;8;5;25;18;7;e eliminados nas semifinais;;Cuiabá;;;;;;;;;;;
5; Náutico;32;20;9;5;6;28;26;2;Eliminados nas quartas de final;;Botafogo-SP;;;;;;;;;;;
6; Atlético Acreano;31;20;9;4;7;27;26;1;;;Bragantino;;;;;;;;;;;
7; Santa Cruz;31;20;8;7;5;23;16;7;;Rebaixado(s);Tupi;;;;;;;;;;;
8; Botafogo-PB;29;20;7;8;5;23;18;5;;;Juazeirense;;;;;;;;;;;
9; Luverdense;24;18;7;3;8;27;25;2;Eliminados na primeira fase;;Salgueiro;;;;;;;;;;;
10; Confiança;23;18;5;8;5;24;25;–1;;;Joinville;;;;;;;;;;;
11; Tombense;22;18;6;4;8;17;17;0;;Estatísticas;;;;;;;;;;;;
12; Ypiranga de Erechim;22;18;6;4;8;25;27;–2;;Melhor marcador;Caio Dantas (Botafogo-SP) – 11 gols;;;;;;;;;;;
13; Remo;22;18;6;4;8;18;20;–2;;Melhor ataque (fase inicial);Cuiabá – 32 gols;;;;;;;;;;;
14; Globo;22;18;4;10;4;19;19;0;;Melhor defesa (fase inicial);Santa Cruz – 13 gols;;;;;;;;;;;
15; ABC;21;18;6;3;9;18;24;–6;;Maiores goleadas;Atlético Acreano 5–0 Juazeirense;;;;;;;;;;;
16; Volta Redonda;20;18;6;2;10;18;25;–7;;(diferença);Florestão, Rio Branco;;;;;;;;;;;
17; Tupi;20;18;6;2;10;19;30;–11;Rebaixados à Série D de 2019;;13 de maio, 5ª rodada;;;;;;;;;;;
18; Juazeirense;19;18;4;7;7;16;20;–4;;;;;;;;;;;;;;
19; Salgueiro;17;18;3;8;7;11;19;–8;;;Cuiabá 5–0 Joinville;;;;;;;;;;;
20; Joinville;14;18;4;2;12;13;35;–22;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Náutico;42;24;12;6;6;34;26;8;Promovidos à Série B em 2020;Campeão;Náutico (1º título);;;;;;;;;;;
2; Sampaio Corrêa;42;24;12;6;6;31;26;5;e finalistas;Vice-campeão;Sampaio Corrêa;;;;;;;;;;;
3; Juventude;35;22;9;8;5;27;17;10;Promovidos à Série B em 2020;Promovido(s);Confiança;;;;;;;;;;;
4; Confiança;30;22;8;6;8;24;26;–2;e eliminados nas semifinais;;Sampaio Corrêa;;;;;;;;;;;
5; Paysandu;30;20;6;12;2;20;13;7;Eliminados nas quartas de final;;Náutico;;;;;;;;;;;
6; Imperatriz;29;20;8;5;7;27;26;1;;;Juventude;;;;;;;;;;;
7; Ypiranga de Erechim;29;20;7;8;5;19;12;7;;Rebaixado(s);Atlético Acreano;;;;;;;;;;;
8; São José-RS;29;20;6;11;3;27;20;7;;;Luverdense;;;;;;;;;;;
9; Remo;27;18;6;9;3;19;14;5;Eliminados na primeira fase;;ABC;;;;;;;;;;;
10; Ferroviário;25;18;7;4;7;21;20;1;;;Globo;;;;;;;;;;;
11; Botafogo-PB;25;18;6;7;5;26;22;4;;Estatísticas;;;;;;;;;;;;
12; Volta Redonda;25;18;6;7;5;22;19;3;;Melhor marcador;8 gols:;;;;;;;;;;;
13; Santa Cruz;25;18;6;7;5;24;27;–3;;;Eduardo (Treze);;;;;;;;;;;
14; Tombense;23;18;6;5;7;17;20;–3;;;Luiz Eduardo (São José-RS);;;;;;;;;;;
15; Boa Esporte;20;18;4;8;6;16;19;–3;;;Negueba (Globo);;;;;;;;;;;
16; Treze;19;18;5;4;9;22;27;–5;;;Salatiel (Sampaio Corrêa);;;;;;;;;;;
17; ABC;18;18;4;6;8;19;22;–3;Rebaixados à Série D de 2020;Melhor ataque (fase inicial);Imperatriz – 27 gols;;;;;;;;;;;
18; Globo;16;18;4;4;10;19;27;–8;;Melhor defesa (fase inicial);Ypiranga de Erechim – 10 gols;;;;;;;;;;;
19; Luverdense;13;18;1;10;7;13;19;–6;;Maiores goleadas;Luverdense 4–0 Atlético Acreano;;;;;;;;;;;
20; Atlético Acreano;11;18;2;5;11;12;37;–25;;(diferença);Estádio Passo das Emas, Lucas do Rio Verde;;;;;;;;;;;
;;;;;;;;;;;;23 de junho, 9ª rodada;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Paysandu 4–0 Atlético Acreano;;;;;;;;;;;
;;;;;;;;;;;;Estádio Mangueirão, Belém;;;;;;;;;;;
;;;;;;;;;;;;10 de agosto, 16ª rodada;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Juventude 4–0 Imperatriz;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2020;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Vila Nova;47;26;13;8;5;34;21;13;Promovidos à Série B de 2021;Campeão;Vila Nova (3º título);;;;;;;;;;;
2; Remo;41;26;11;8;7;30;23;7;e finalistas;Vice-campeão;Remo;;;;;;;;;;;
3; Londrina;38;24;10;8;6;27;22;5;Promovidos à Série B de 2021;Promovido(s);Brusque;;;;;;;;;;;
4; Brusque;38;24;10;8;6;32;32;0;e eliminados na segunda fase;;Londrina;;;;;;;;;;;
5; Santa Cruz;45;24;13;6;5;40;23;17;Eliminados na segunda fase;;Remo;;;;;;;;;;;
6; Ypiranga de Erechim;38;24;11;5;8;39;35;4;;;Vila Nova;;;;;;;;;;;
7; Paysandu;36;24;10;6;8;31;22;9;;Rebaixado(s);Treze;;;;;;;;;;;
8; Ituano;34;24;9;7;8;35;30;5;;;São Bento;;;;;;;;;;;
9; Tombense;27;18;7;6;5;21;18;3;Eliminados na primeira fase;;Boa Esporte;;;;;;;;;;;
10; Manaus;26;18;6;8;4;19;18;1;;;Imperatriz;;;;;;;;;;;
11; Jacuipense;24;18;6;6;6;19;21;–2;;Estatísticas;;;;;;;;;;;;
12; Ferroviário;23;18;6;5;7;27;22;5;;Melhor marcador;Thiago Alagoano (Brusque) – 12 gols;;;;;;;;;;;
13; Volta Redonda;23;18;5;8;5;31;23;8;;Melhor ataque (fase inicial);Santa Cruz – 32 gols;;;;;;;;;;;
14; São José-RS;20;18;5;5;8;15;23;–8;;Melhor defesa (fase inicial);Remo – 10 gols;;;;;;;;;;;
15; Botafogo-PB;20;18;4;8;6;19;17;2;;Maiores goleadas;Botafogo-PB 7–0 Imperatriz;;;;;;;;;;;
16; Criciúma;19;18;4;7;7;20;25;–5;;(diferença);Estádio Almeidão, João Pessoa;;;;;;;;;;;
17; Treze;19;18;4;7;7;19;21;–2;Rebaixados à Série D de 2021;;7 de novembro, 14ª rodada;;;;;;;;;;;
18; São Bento;17;18;3;8;7;13;20;–7;;;;;;;;;;;;;;
19; Boa Esporte;15;18;2;9;7;17;23;–6;;;Brusque 1–8 Volta Redonda;;;;;;;;;;;
20; Imperatriz;1;18;0;1;17;10;60;–50;;;Estádio Augusto Bauer, Brusque;;;;;;;;;;;
;;;;;;;;;;;;28 de novembro, 17ª rodada;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Ferroviário 7–0 Imperatriz;;;;;;;;;;;
;;;;;;;;;;;;Arena Castelão, Fortaleza;;;;;;;;;;;
;;;;;;;;;;;;28 de novembro, 17ª rodada;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2021;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Ituano;50;26;14;8;4;38;23;15;Promovidos à Série B de 2022;Campeão;Ituano (2° título);;;;;;;;;;;
2; Tombense;39;26;9;12;5;31;24;7;e finalistas;Vice-campeão;Tombense;;;;;;;;;;;
3; Novorizontino;48;24;15;3;6;31;20;11;Promovidos à Série B de 2022;Promovido(s);Ituano;;;;;;;;;;;
4; Criciúma;39;24;11;6;7;22;17;5;e eliminados na segunda fase;;Tombense;;;;;;;;;;;
5; Ypiranga de Erechim;38;24;10;8;6;32;23;9;Eliminados na segunda fase;;Novorizontino;;;;;;;;;;;
6; Botafogo-PB;35;24;8;11;5;20;15;5;;;Criciúma;;;;;;;;;;;
7; Manaus;32;24;8;8;8;31;33;–2;;Rebaixado(s);Jacuipense;;;;;;;;;;;
8; Paysandu;32;24;8;8;8;25;29;–4;;;Paraná;;;;;;;;;;;
9; Figueirense;29;18;8;5;5;19;14;5;Eliminados na primeira fase;;Santa Cruz;;;;;;;;;;;
10; Volta Redonda;26;18;6;8;4;21;16;5;;;Oeste;;;;;;;;;;;
11; Ferroviário;24;18;5;9;4;14;12;2;;Estatísticas;;;;;;;;;;;;
12; São José-RS;23;18;6;5;7;22;22;0;;Melhor marcador;Quirino (Ypiranga de Erechim) – 10 gols;;;;;;;;;;;
13; Botafogo-SP;22;18;6;4;8;15;22;–7;;Melhor ataque (fase inicial);Ypiranga de Erechim – 26 gols;;;;;;;;;;;
14; Altos;21;18;5;6;7;21;23;–2;;Melhor defesa (fase inicial);Novorizontino – 10 gols;;;;;;;;;;;
15; Floresta;21;18;4;9;5;15;17;–2;;Maiores goleadas;Volta Redonda 5–0 Manaus;;;;;;;;;;;
16; Mirassol;19;18;6;1;11;17;26;–9;;(diferença);Estádio Raulino de Oliveira, Volta Redonda;;;;;;;;;;;
17; Jacuipense;18;18;3;9;6;13;21;–8;Rebaixados à Série D de 2022;;6 de junho, 2ª rodada;;;;;;;;;;;
18; Paraná;16;18;4;4;10;17;21;–4;;;;;;;;;;;;;;
19; Santa Cruz;12;18;2;6;10;11;19;–8;;;Manaus 5–0 Novorizontino;;;;;;;;;;;
20; Oeste;7;18;1;4;13;9;27;–18;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;6;;;;;;;;;;;;
1; Mirassol;49;27;14;7;6;45;28;17;Promovidos à Série B de 2023;Colocações finais;;;;;;;;;;;;
2; ABC;44;27;11;11;5;26;19;7;e finalistas;Campeão;Mirassol (1° título);;;;;;;;;;;
3; Botafogo-SP;42;25;13;3;9;37;30;7;Promovidos à Série B de 2023;Vice-campeão;ABC;;;;;;;;;;;
4; Vitória;38;25;10;8;7;25;21;4;e eliminados na segunda fase;Promovido(s);ABC;;;;;;;;;;;
5; Figueirense;40;25;10;10;5;35;24;11;Eliminados na segunda fase;;Botafogo-SP;;;;;;;;;;;
6; Paysandu;37;25;10;7;8;34;23;11;;;Mirassol;;;;;;;;;;;
7; Volta Redonda;36;25;11;3;11;36;33;3;;;Vitória;;;;;;;;;;;
8; Aparecidense;36;25;10;6;9;31;28;3;;Rebaixado(s);Atlético Cearense;;;;;;;;;;;
9; Botafogo-PB;29;19;7;8;4;17;13;4;Eliminados na primeira fase;;Brasil de Pelotas;;;;;;;;;;;
10; Ypiranga de Erechim;28;19;7;7;5;25;20;5;;;Ferroviário;;;;;;;;;;;
11; São José-RS;26;19;7;5;7;33;27;6;;;Campinense;;;;;;;;;;;
12; Remo;26;19;7;5;7;25;22;3;;Estatísticas;;;;;;;;;;;;
13; Manaus;25;19;6;7;6;16;21;–5;;Melhor marcador;Alex Henrique (Aparecidense) – 12 gols;;;;;;;;;;;
14; Confiança;23;19;6;5;8;12;17;–5;;Melhor ataque;São José-RS – 33 gols;;;;;;;;;;;
15; Floresta;23;19;6;5;8;17;25;–8;;Melhor defesa;Botafogo-PB – 13 gols;;;;;;;;;;;
16; Altos;21;19;6;3;10;21;31;–10;;Maior goleada;Mirassol 6–0 Atlético Cearense;;;;;;;;;;;
17; Atlético Cearense;19;19;5;4;10;17;35;–18;Rebaixados à Série D de 2023;(diferença);;;;;;;;;;;;
18; Brasil de Pelotas;17;19;4;5;10;19;29;–10;;;;;;;;;;;;;;
19; Ferroviário;16;19;5;1;13;15;27;–12;;;;;;;;;;;;;;
20; Campinense;16;19;4;4;11;15;28;–13;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2023;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipe;Pts;J;V;E;D;GP;GC;SG;Classificação ou descenso;Colocações finais;;;;;;;;;;;;
1; Amazonas (C);48;27;14;6;7;34;25;9;Promovido à Série B de 2024 e campeão;Campeão;Amazonas (1.º título);;;;;;;;;;;
2; Brusque;45;27;13;6;8;35;23;12;Promovido à Série B de 2024 e vice-campeão;Vice-campeão;Brusque;;;;;;;;;;;
3; Operário-PR;43;25;12;7;6;28;19;9;Promovidos à Série B de 2024;Promovido(s);Amazonas;;;;;;;;;;;
4; Paysandu;39;25;11;6;8;28;32;?4;e eliminados na segunda fase;;Brusque;;;;;;;;;;;
5; Volta Redonda;43;25;13;4;8;39;26;13;Eliminados na segunda fase;;Operário-PR;;;;;;;;;;;
6; São José-RS;37;25;9;10;6;35;28;7;;;Paysandu;;;;;;;;;;;
7; São Bernardo;36;25;9;9;7;26;23;3;;Rebaixado(s);Altos;;;;;;;;;;;
8; Botafogo-PB;33;25;8;9;8;31;31;0;;;América de Natal;;;;;;;;;;;
9; Confiança;28;19;8;4;7;23;26;?3;Eliminados na primeira fase;;Manaus;;;;;;;;;;;
10; Náutico;27;19;6;9;4;25;24;1;;;Pouso Alegre;;;;;;;;;;;
11; Remo;25;19;6;7;6;20;18;2;;Estatísticas;;;;;;;;;;;;
12; CSA;24;19;5;9;5;15;13;2;;Melhor marcador;Sassá (Amazonas) – 18 gols;;;;;;;;;;;
13; Ypiranga de Erechim;23;19;6;5;8;26;23;3;;Melhor ataque (fase inicial);Volta Redonda – 33 gols;;;;;;;;;;;
14; Floresta;23;19;5;8;6;14;17;?3;;Melhor defesa (fase inicial);Operário-PR – 10 gols;;;;;;;;;;;
15; Aparecidense;22;19;6;4;9;17;20;?3;;Maior goleada;Ypiranga de Erechim 5–0 Paysandu;;;;;;;;;;;
16; Figueirense;22;19;5;7;7;19;18;1;;(diferença);;;;;;;;;;;;
17; Manaus;20;19;5;5;9;13;24;?11;Rebaixados à Série D de 2024;;;;;;;;;;;;;
18; América de Natal;19;19;4;7;8;12;21;?9;;;;;;;;;;;;;;
19; Altos;13;19;2;7;10;14;28;?14;;;;;;;;;;;;;;
20; Pouso Alegre;12;19;3;3;13;11;26;?15;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2024;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipe;Pts;J;V;E;D;GP;GC;SG;Classificação ou descenso;Colocações finais;;;;;;;;;;;;
1; Volta Redonda (C);52;27;15;7;5;41;32;9;Promovido à Série B de 2025 e campeão;Campeão;Volta Redonda (1.º título);;;;;;;;;;;
2; Athletic;50;27;15;5;7;50;32;18;Promovido à Série B de 2025 e vice-campeão;Vice-campeão;Athletic;;;;;;;;;;;
3; Ferroviária;46;25;12;10;3;34;21;13;Promovidos à Série B de 2025;Promovido(s);Volta Redonda;;;;;;;;;;;
4; Remo;35;25;10;5;10;27;30;?3;e eliminados na segunda fase;;Athletic;;;;;;;;;;;
5; Botafogo-PB;46;25;13;7;5;38;26;12;Eliminados na segunda fase;;Ferroviária;;;;;;;;;;;
6; São Bernardo;40;25;11;7;7;34;24;10;;;Remo;;;;;;;;;;;
7; Ypiranga de Erechim;37;25;10;7;8;28;26;2;;Rebaixado(s);Aparecidense;;;;;;;;;;;
8; Londrina;36;25;9;9;7;35;33;2;;;Ferroviário;;;;;;;;;;;
9; Náutico;25;19;6;7;6;34;25;9;Eliminados na primeira fase;;Sampaio Corrêa;;;;;;;;;;;
10; CSA;25;19;6;7;6;22;26;?4;;;São José-RS;;;;;;;;;;;
11; Figueirense;24;19;6;6;7;19;21;?2;;Estatísticas;;;;;;;;;;;;
12; Tombense;23;19;5;8;6;22;21;1;;Melhor marcador;10 gols:;;;;;;;;;;;
13; Confiança;22;19;6;4;9;20;22;?2;;;Kayke (São Bernardo);;;;;;;;;;;
14; ABC;22;19;5;7;7;18;20;?2;;;Paulo Sérgio (Náutico);;;;;;;;;;;
15; Caxias;21;19;6;3;10;20;27;?7;;Melhor ataque (fase inicial);Athletic – 39 gols;;;;;;;;;;;
16; Floresta;19;19;5;4;10;15;27;?12;;Melhor defesa (fase inicial);Ferroviária – 9 gols;;;;;;;;;;;
17; Sampaio Corrêa;19;19;4;7;8;16;21;?5;Rebaixados à Série D de 2025;Maiores goleadas;São Bernardo 5–0 Ferroviário;;;;;;;;;;;
18; Aparecidense;16;19;3;7;9;18;28;?10;;(diferença);Estádio 1º de Maio, São Bernardo do Campo;;;;;;;;;;;
19; Ferroviário;15;19;3;6;10;19;38;?19;;;6 de maio, 3.ª rodada;;;;;;;;;;;
20; São José-RS;11;19;2;5;12;12;22;?10;;;;;;;;;;;;;;
;;;;;;;;;;;;CSA 0–5 Athletic;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2025;;;;;;;;;;;olocações finais;;;;;;;;;;;;
Pos;Equipe;Pts;J;V;E;D;GP;GC;SG;Classificação ou descenso;Campeão;Ponte Preta (1.º título);;;;;;;;;;;
1; Ponte Preta (C);53;27;16;5;6;29;22;7;Promovida à Série B de 2026 e campeã;Vice-campeão;Londrina;;;;;;;;;;;
2; Londrina;41;27;10;11;6;33;25;8;Promovido à Série B de 2026 e vice-campeão;Promovido(s);Ponte Preta;;;;;;;;;;;
3; Náutico;44;25;12;8;5;30;13;17;Promovidos à Série B de 2026;;Londrina;;;;;;;;;;;
4; São Bernardo;37;25;9;10;6;23;19;4;e eliminados na segunda fase;;Náutico;;;;;;;;;;;
5; Caxias;41;25;12;5;8;28;25;3;Eliminados na segunda fase;;São Bernardo;;;;;;;;;;;
6; Brusque;34;25;10;4;11;26;25;1;;Rebaixado(s);ABC;;;;;;;;;;;
7; Guarani;34;25;9;7;9;26;27;?1;;;CSA;;;;;;;;;;;
8; Floresta;34;25;8;10;7;17;17;0;;;Retrô;;;;;;;;;;;
9; Confiança;26;19;7;5;7;21;22;?1;Eliminados na primeira fase;;Tombense;;;;;;;;;;;
10; Ypiranga de Erechim;25;19;7;4;8;17;21;?4;;Estatísticas;;;;;;;;;;;;
11; Maringá;25;19;5;10;4;26;24;2;;Melhor marcador;8 gols:;;;;;;;;;;;
12; Ituano;24;19;6;6;7;19;24;?5;;;Iago Teles (Londrina);;;;;;;;;;;
13; Botafogo-PB;23;19;6;5;8;22;21;1;;;Jonas Toró (Ponte Preta);;;;;;;;;;;
14; Figueirense;23;19;5;8;6;21;18;3;;Melhor ataque (fase inicial);Londrina – 27 gols;;;;;;;;;;;
15; Anápolis;23;19;5;8;6;16;19;?3;;Melhor defesa (fase inicial);Náutico – 7 gols;;;;;;;;;;;
16; Itabaiana;22;19;6;4;9;16;20;?4;;Maiores goleadas;Ypiranga de Erechim 0–4 Náutico;;;;;;;;;;;
17; CSA;22;19;5;7;7;21;23;?2;Rebaixados à Série D de 2026;(diferença);Estádio Colosso da Lagoa, Erechim;;;;;;;;;;;
18; ABC;18;19;2;12;5;20;25;?5;;;17 de maio, 6.ª rodada;;;;;;;;;;;
19; Retrô;14;19;3;5;11;7;22;?15;;;;;;;;;;;;;;
20; Tombense;14;19;2;8;9;14;23;?9;;;Retrô 0–4 Londrina;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2026;;;;;;;;;;;;;;;;;;;;;;;
Amazonas;Manaus; AM;18.º (Série B);Carlos Zamith;10 000;1 (2023);;;;;;;;;;;;;;;;;
Anápolis;Anápolis; GO;15.º;Jonas Duarte;12 875;0 (não possui);;;;;;;;;;;;;;;;;
Barra-SC;Balneário Camboriú; SC;1.º (Série D);Arena Barra FC;5 500;0 (não possui);;;;;;;;;;;;;;;;;
Botafogo-PB;João Pessoa; PB;13.º;Almeidão (PB);19 000;0 (não possui);;;;;;;;;;;;;;;;;
Brusque;Brusque; SC;6.º;Arena Simon;5 000;0 (não possui);;;;;;;;;;;;;;;;;
Caxias;Caxias do Sul; RS;5.º;Centenário;22 132;0 (não possui);;;;;;;;;;;;;;;;;
Confiança;Aracaju; SE;9.º;Batistão;15 000;0 (não possui);;;;;;;;;;;;;;;;;
Ferroviária;Araraquara; SP;17.º (Série B);Fonte Luminosa;20 000;0 (não possui);;;;;;;;;;;;;;;;;
Figueirense;Florianópolis; SC;14.º;Orlando Scarpelli;19 584;0 (não possui);;;;;;;;;;;;;;;;;
Floresta;Fortaleza; CE;8.º;Domingão;10 500;0 (não possui);;;;;;;;;;;;;;;;;
Guarani;Campinas; SP;7.º;Brinco de Ouro;20 580;0 (não possui);;;;;;;;;;;;;;;;;
Inter de Limeira;Limeira; SP;3.º (Série D);Limeirão;18 000;0 (não possui);;;;;;;;;;;;;;;;;
Itabaiana;Itabaiana; SE;16.º;Etelvino Mendonça;10 000;0 (não possui);;;;;;;;;;;;;;;;;
Ituano;Itu; SP;12.º;Novelli Junior;15 600;2 (2003 e 2021);;;;;;;;;;;;;;;;;
